2026-08-20 22:24:21.445 | WARNING  | chatchat.server.utils:detect_xf_models:105 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-08-20 22:24:21.445 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-08-20 22:24:21.446 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-08-20 22:24:21.517 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-08-20 22:24:21.522 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-08-20 22:24:21.526 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-08-20 22:24:21.529 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-08-20 22:24:21.540 | SUCCESS  | chatchat.cli:init:47 - 开始初始化项目数据目录：F:\my\workSpaces\KnowledgeChat
2026-08-20 22:24:21.544 | SUCCESS  | chatchat.cli:init:49 - 创建所有数据目录：成功。
2026-08-20 22:24:21.577 | SUCCESS  | chatchat.cli:init:52 - 复制 samples 知识库文件：成功。
2026-08-20 22:24:21.656 | SUCCESS  | chatchat.cli:init:54 - 初始化知识库数据库：成功。
2026-08-20 22:24:22.337 | SUCCESS  | chatchat.cli:init:66 - 生成默认配置文件：成功。
2026-08-20 22:24:22.337 | SUCCESS  | chatchat.cli:init:67 - 请先检查确认 model_settings.yaml 里模型平台、LLM模型和Embed模型信息已经正确
2026-08-20 22:24:22.337 | SUCCESS  | chatchat.cli:init:76 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2026-08-20 22:33:05.245 | WARNING  | chatchat.server.utils:detect_xf_models:105 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-08-20 22:33:05.246 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-08-20 22:33:05.248 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-08-20 22:33:05.307 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-08-20 22:33:05.335 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-08-20 22:33:05.362 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-08-20 22:33:05.390 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-08-20 22:33:05.456 | SUCCESS  | chatchat.cli:init:47 - 开始初始化项目数据目录：F:\my\workSpaces\KnowledgeChat
2026-08-20 22:33:05.459 | SUCCESS  | chatchat.cli:init:49 - 创建所有数据目录：成功。
2026-08-20 22:33:05.480 | SUCCESS  | chatchat.cli:init:52 - 复制 samples 知识库文件：成功。
2026-08-20 22:33:05.486 | SUCCESS  | chatchat.cli:init:54 - 初始化知识库数据库：成功。
2026-08-20 22:33:05.997 | SUCCESS  | chatchat.cli:init:66 - 生成默认配置文件：成功。
2026-08-20 22:33:05.998 | SUCCESS  | chatchat.cli:init:67 - 请先检查确认 model_settings.yaml 里模型平台、LLM模型和Embed模型信息已经正确
2026-08-20 22:33:05.999 | SUCCESS  | chatchat.cli:init:76 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2026-08-20 22:33:24.005 | WARNING  | chatchat.server.utils:detect_xf_models:105 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-08-20 22:33:24.006 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-08-20 22:33:24.008 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-08-20 22:33:24.068 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-08-20 22:33:24.098 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-08-20 22:33:24.128 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
